OID_,Id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,loc_type,parent_sta,timezone,wheelchair,count,coord_x,coord_y,dist_ctr
887,0,1030,957,S - Ellsworth east of Golfside, ,42.230164000000002,-83.660476000000003, , , , , ,1,1,280454.060899999924004,4678757.865399999544024,8071.159612650018971
888,0,1031,958,Ellsworth  + Roundtree Blv, ,42.230238000000000,-83.656662999999995, , , , , ,1,1,280768.993400000035763,4678756.262000000104308,8299.073029150384173
889,0,1032,959,S - Ellsworth at Wal-Mart, ,42.230462000000003,-83.648905999999997, , , , , ,1,1,281409.929299999959767,4678761.200799999758601,8774.240047995714121
890,0,1034,962,Michigan + Mansfield, ,42.233882999999999,-83.632444000000007, , , , , ,2,1,282780.223399999551475,4679098.971499999985099,9668.967770974155428
891,0,1035,963,Michigan + Brown Chapel, ,42.235762000000001,-83.628876000000005, , , , , ,1,1,283081.102099999785423,4679298.531600000336766,9815.382397213159493
892,0,1039,967,Cross + Huron, ,42.245795999999999,-83.613118000000000, , , , , ,2,1,284415.632199999876320,4680372.742599999532104,10515.031342471980679
893,0,1040,968,Cross + River, ,42.245921000000003,-83.609886000000003, , , , , ,1,1,284682.718500000424683,4680378.446100000292063,10759.725115277744408
894,0,1041,969,Cross + Park, ,42.245969000000002,-83.605942999999996, , , , , ,1,1,285008.203999999910593,4680373.813999999314547,11063.573260045726784
895,0,1042,970,Prospect + Maple, ,42.246898999999999,-83.602708000000007, , , , , ,1,1,285278.267799999564886,4680468.923399999737740,11281.432592719254899
896,0,1043,971,Forest + Vought, ,42.249741999999998,-83.601468999999994, , , , , ,2,1,285390.135599999688566,4680781.500399999320507,11281.157376922661570
897,0,1044,972,Forest + Campbell, ,42.249782000000003,-83.596608000000003, , , , , ,2,1,285791.309600000269711,4680773.702199999243021,11663.880262514496280
898,0,1045,973,Forest + Hollis, ,42.249859999999998,-83.592152999999996, , , , , ,2,1,286159.116000000387430,4680771.166200000792742,12014.424714863722329
899,0,1046,974,Forest + Browning, ,42.249882999999997,-83.588093999999998, , , , , ,1,1,286494.065299999900162,4680763.534800000488758,12336.112067101123102
900,0,1047,975,Forest + Harris, ,42.249915000000001,-83.583378999999994, , , , , ,2,1,286883.165300000458956,4680755.276699999347329,12710.496321046621233
901,0,1048,976,Ford + Forest, ,42.250287999999998,-83.580388999999997, , , , , ,2,1,287131.098100000061095,4680789.217299999669194,12938.406665970718677
902,0,1049,977,Ford + Holmes, ,42.254572000000003,-83.580492000000007, , , , , ,1,1,287137.016699999570847,4681265.190300000831485,12818.165625123017890
903,0,1051,981,Clark + Ford Elementary, ,42.258009999999999,-83.562376999999998, , , , , ,2,1,288642.898299999535084,4681601.832599999383092,14211.211545614265560
904,0,1052,982,Clark + Ridge, ,42.258195999999998,-83.555564000000004, , , , , ,2,1,289205.524000000208616,4681605.596300000324845,14762.247875110750101
905,0,1053,983,Ridge + Holmes, ,42.254421000000001,-83.553954000000004, , , , , ,1,1,289325.759399999864399,4681182.418199999257922,14966.502936391212643
