GEOID20,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOIDFQ20,NAME20,MTFCC20,UR20,UACE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,Shape_Length,Shape_Area
261614005003001,26,161,400500,3001,1000000US261614005003001,Block3001,G5040,U,02602,S,13065.000000000000000,0.000000000000000,+42.2714093,-083.7422942,43.000000000000000,118.000000000000000,0.005023722987985,0.000001425768674
261614005004003,26,161,400500,4003,1000000US261614005004003,Block4003,G5040,U,02602,S,19901.000000000000000,0.000000000000000,+42.2667362,-083.7398762,47.000000000000000,133.000000000000000,0.005997142288062,0.000002171577384
261614043002002,26,161,404300,2002,1000000US261614043002002,Block2002,G5040,U,02602,S,35908.000000000000000,0.000000000000000,+42.2621599,-083.7610568,40.000000000000000,70.000000000000000,0.009250327051977,0.000003917902948
261614001002006,26,161,400100,2006,1000000US261614001002006,Block2006,G5040,U,02602,S,7741.000000000000000,0.000000000000000,+42.2781988,-083.7413493,11.000000000000000,31.000000000000000,0.003833595654134,0.000000844850020
261614055003003,26,161,405500,3003,1000000US261614055003003,Block3003,G5040,U,02602,S,16209.000000000000000,0.000000000000000,+42.2416752,-083.6854879,42.000000000000000,65.000000000000000,0.005403464691275,0.000001768005630
261614032003011,26,161,403200,3011,1000000US261614032003011,Block3011,G5040,U,02602,S,10078.000000000000000,0.000000000000000,+42.2976514,-083.7668302,2.000000000000000,13.000000000000000,0.005006657684754,0.000001100182322
261614033004007,26,161,403300,4007,1000000US261614033004007,Block4007,G5040,U,02602,S,663.000000000000000,0.000000000000000,+42.2818741,-083.7985694,0.000000000000000,0.000000000000000,0.001339143797291,0.000000072318519
261614051001002,26,161,405100,1002,1000000US261614051001002,Block1002,G5040,U,02602,S,23492.000000000000000,0.000000000000000,+42.2419292,-083.7191182,19.000000000000000,48.000000000000000,0.006442909892471,0.000002562426292
261614056003008,26,161,405600,3008,1000000US261614056003008,Block3008,G5040,U,02602,S,118141.000000000000000,0.000000000000000,+42.2305162,-083.7361904,36.000000000000000,27.000000000000000,0.018454240197627,0.000012884124095
261614046005008,26,161,404600,5008,1000000US261614046005008,Block5008,G5040,U,02602,S,2689.000000000000000,0.000000000000000,+42.2441936,-083.7333770,0.000000000000000,0.000000000000000,0.005580868649465,0.000000293347374
261614034003019,26,161,403400,3019,1000000US261614034003019,Block3019,G5040,U,02602,S,46029.000000000000000,0.000000000000000,+42.2826739,-083.7640522,42.000000000000000,70.000000000000000,0.009897935492034,0.000005023873765
261614035003014,26,161,403500,3014,1000000US261614035003014,Block3014,G5040,U,02602,S,127453.000000000000000,0.000000000000000,+42.2765074,-083.7742583,168.000000000000000,315.000000000000000,0.019263037715150,0.000013909484593
261614007001001,26,161,400700,1001,1000000US261614007001001,Block1001,G5040,U,02602,S,73512.000000000000000,0.000000000000000,+42.2890202,-083.7433393,0.000000000000000,0.000000000000000,0.014064399269061,0.000008024321761
261614036004009,26,161,403600,4009,1000000US261614036004009,Block4009,G5040,U,02602,S,65690.000000000000000,0.000000000000000,+42.3124923,-083.7178478,35.000000000000000,90.000000000000000,0.010129837248736,0.000007173099476
261614036004010,26,161,403600,4010,1000000US261614036004010,Block4010,G5040,U,02602,S,92544.000000000000000,0.000000000000000,+42.3120965,-083.7147316,50.000000000000000,125.000000000000000,0.013275194411954,0.000010105344163
261614036001002,26,161,403600,1002,1000000US261614036001002,Block1002,G5040,U,02602,S,36230.000000000000000,0.000000000000000,+42.3103730,-083.7147689,113.000000000000000,222.000000000000000,0.010929575485396,0.000003955994603
261614021003001,26,161,402100,3001,1000000US261614021003001,Block3001,G5040,U,02602,S,16106.000000000000000,0.000000000000000,+42.2972358,-083.7351556,17.000000000000000,37.000000000000000,0.005492545918769,0.000001758322248
261614038002014,26,161,403800,2014,1000000US261614038002014,Block2014,G5040,U,02602,S,21117.000000000000000,0.000000000000000,+42.3028574,-083.7357250,14.000000000000000,38.000000000000000,0.006049519864802,0.000002305508612
261614021003009,26,161,402100,3009,1000000US261614021003009,Block3009,G5040,U,02602,S,68015.000000000000000,0.000000000000000,+42.2938698,-083.7316827,64.000000000000000,148.000000000000000,0.017153025504049,0.000007425004574
261614021002007,26,161,402100,2007,1000000US261614021002007,Block2007,G5040,U,02602,S,2269.000000000000000,0.000000000000000,+42.2875947,-083.7337561,1.000000000000000,12.000000000000000,0.002101636056173,0.000000247624045
261614036002012,26,161,403600,2012,1000000US261614036002012,Block2012,G5040,U,02602,S,11265.000000000000000,0.000000000000000,+42.2976996,-083.7285545,0.000000000000000,0.000000000000000,0.010207431290570,0.000001229822004
261614022015000,26,161,402201,5000,1000000US261614022015000,Block5000,G5040,U,02602,S,1788.000000000000000,0.000000000000000,+42.2978099,-083.7211551,0.000000000000000,0.000000000000000,0.002802042682531,0.000000195233065
261614022012002,26,161,402201,2002,1000000US261614022012002,Block2002,G5040,U,02602,S,173385.000000000000000,0.000000000000000,+42.2968623,-083.7172145,350.000000000000000,1431.000000000000000,0.018609065876157,0.000018928255420
261614036002010,26,161,403600,2010,1000000US261614036002010,Block2010,G5040,U,02602,S,68463.000000000000000,0.000000000000000,+42.2974717,-083.7248884,133.000000000000000,227.000000000000000,0.010961802885892,0.000007474094312
261614022015003,26,161,402201,5003,1000000US261614022015003,Block5003,G5040,U,02602,S,31798.000000000000000,0.000000000000000,+42.2956430,-083.7233615,0.000000000000000,0.000000000000000,0.008454297597170,0.000003471269363
261614026012002,26,161,402601,2002,1000000US261614026012002,Block2002,G5040,U,02602,S,7346.000000000000000,0.000000000000000,+42.2991598,-083.7043346,0.000000000000000,0.000000000000000,0.007611229007786,0.000000801968157
261619804001004,26,161,980400,1004,1000000US261619804001004,Block1004,G5040,U,02602,S,80385.000000000000000,0.000000000000000,+42.2932628,-083.7155055,0.000000000000000,0.000000000000000,0.016347357273071,0.000008774971376
261619804001006,26,161,980400,1006,1000000US261619804001006,Block1006,G5040,U,02602,S,11871.000000000000000,0.000000000000000,+42.2917800,-083.7182779,0.000000000000000,0.000000000000000,0.007835362279744,0.000001295879038
261619804001005,26,161,980400,1005,1000000US261619804001005,Block1005,G5040,U,02602,S,112525.000000000000000,0.000000000000000,+42.2914372,-083.7152172,0.000000000000000,0.000000000000000,0.015476519647603,0.000012283141917
261614036002006,26,161,403600,2006,1000000US261614036002006,Block2006,G5040,U,02602,S,38749.000000000000000,0.000000000000000,+42.3010701,-083.7166043,180.000000000000000,353.000000000000000,0.008322080776526,0.000004230463457
261614026013001,26,161,402601,3001,1000000US261614026013001,Block3001,G5040,U,02602,S,156785.000000000000000,0.000000000000000,+42.2991674,-083.7109159,371.000000000000000,1772.000000000000000,0.017444991231470,0.000017116738441
261614022012000,26,161,402201,2000,1000000US261614022012000,Block2000,G5040,U,02602,S,66819.000000000000000,0.000000000000000,+42.2991538,-083.7139210,56.000000000000000,74.000000000000000,0.011617833078172,0.000007294890223
261614022012001,26,161,402201,2001,1000000US261614022012001,Block2001,G5040,U,02602,S,62373.000000000000000,0.000000000000000,+42.2966667,-083.7135711,125.000000000000000,362.000000000000000,0.010109590800914,0.000006809161957
