Id,Label,0,1,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,eigencentrality,weighted indegree,weighted outdegree,Weighted Degree
898,Summit + Spring,-83.752449,42.289032,1,1,2,17,0.111675,0.18689,13728,0,71,0,0,0.000461,13,3,0,0.056912,1,1,2
899,Summit + Miner,-83.75547,42.288994,2,1,3,16,0.12,0.198818,13173,0,70,0,0,0.001401,13,3,0,0.104384,2,1,3
900,Summit + Brooks,-83.758026,42.288937,1,1,2,15,0.132075,0.21419,12561,0,70,0,0,0.001367,13,3,0,0.086611,1,1,2
901,Brooks + Pearl,-83.758224,42.291084,1,1,2,14,0.146853,0.238318,11949,0,70,0,0,0.001337,13,3,0,0.069575,1,1,2
902,Brooks + Robin,-83.75827,42.293541,2,2,4,13,0.165354,0.287943,11371,0,70,0,0,0.001816,13,3,0,0.1042,2,2,4
903,Brooks + Sunset,-83.758377,42.296131,1,1,2,12,0.162791,0.243427,9479,0,70,0,0,0.000947,13,3,0,0.086575,1,1,2
904,Newport + Sunset,-83.765823,42.297733,2,1,3,10,0.179104,0.281118,7629,0,69,0,0,0.001688,13,3,0,0.134495,2,1,3
905,Newport + Downup Cir,-83.7659,42.300892,1,1,2,9,0.206897,0.315608,6995,0,69,0,0,0.00161,13,3,0,0.101174,1,1,2
906,Newport + Newport Creek,-83.765968,42.304359,2,2,4,8,0.244898,0.391171,6433,0,69,0,0,0.002621,13,3,0,0.142614,2,2,4
907,Newport + Bird,-83.766121,42.308098,1,1,2,11,0.166667,0.265545,5132,0,69,0,0,0.00129,13,3,0,0.107363,1,1,2
908,Warrington + Newport,-83.76635,42.309155,1,1,2,10,0.176471,0.271164,4498,0,69,0,0,0.001271,13,3,0,0.078412,1,1,2
909,Warrington + Lincolnshire,-83.76384,42.310112,1,1,2,9,0.1875,0.278902,3864,0,69,0,0,0.001256,13,3,0,0.059123,1,1,2
910,Holyoke + Newport,-83.770485,42.314568,1,2,3,8,0.230769,0.36121,1962,0,69,0,0,0.001223,13,3,0.166667,0.043282,1,2,3
911,Newport + White Oak,-83.769867,42.313297,2,1,3,9,0.210526,0.301025,694,0,69,0,0,0.001285,13,3,0.166667,0.085639,2,1,3
912,Newport + Warrington,-83.766838,42.309086,1,1,2,8,0.226415,0.327183,60,0,69,0,0,0.001268,13,3,0,0.079454,1,1,2
914,Newport + Down Up Cir,-83.765961,42.300915,1,1,2,11,0.157895,0.25999,21,0,69,0,0,0.00129,13,3,0,0.107363,1,1,2
917,Sunset + Brooks,-83.758583,42.296371,1,1,2,14,0.144828,0.23435,13,0,70,0,0,0.000592,13,3,0,0.056083,1,1,2
919,Brooks + Mixtwood,-83.758308,42.291245,1,1,2,18,0.101449,0.179516,647,0,70,0,0,0.000947,13,3,0,0.086575,1,1,2
928,Geddes + Walnut,-83.728882,42.276615,1,1,2,66,0.027608,0.034829,8154,0,81,0.323567,0,0.000514,15,2,0,0.285723,1,1,2
929,Geddes + Linden,-83.726891,42.276028,1,1,2,65,0.028372,0.035878,8177,0,81,0,0,0.000612,15,2,0,0.17241,1,1,2
930,Geddes + Oxford,-83.725082,42.275646,1,1,2,64,0.029179,0.037014,8200,0,81,0,0,0.000696,15,2,0,0.102519,1,1,2
931,Geddes + Onondaga,-83.721603,42.275162,1,1,2,63,0.030034,0.038249,8223,0,81,0,0,0.000767,15,2,0,0.065835,1,1,2
932,Geddes + Hill,-83.717354,42.274342,1,1,2,62,0.03094,0.039599,8246,0,81,0,0,0.000827,15,2,0,0.050211,1,1,2
933,Geddes + Vinewood,-83.715019,42.273632,1,1,2,61,0.031903,0.041083,8269,0,81,0,0,0.000879,15,2,0,0.044787,1,1,2
934,Geddes + Shipman,-83.713043,42.273045,1,1,2,60,0.032927,0.042724,8292,0,81,0,0,0.000922,15,2,0,0.043223,1,1,2
